timestamps,open,high,low,close,volume,candle,symbol,time,EMA50,EMA100,EMA150,logClose,distFromEMA50,distFromEMA100,distFromEMA150,Hband_bollinger,HbandIND_bollinger,Lband_bollinger,LbandIND_bollinger,Wband_bollinger,dc_Hband,dc_Lband,dc_Wband,MFI,VWAP,RSI,doji,Two crows,Hammer,three_black_crows,HANGINGMAN,HARAMICROSS,ADX,ADXR,ATR,HTP,HTPh,HTS,HTSl,BETA,CORREL,LINEARREG,LINEARREG_ANGLE,LINEARREG_INTERCEPT,LINEARREG_SLOPE,STDDEV,TSF,VAR,Aroon_down,Aroon_up,Aroon_indicator
1586736000000,6903.79,6903.79,6575.0,6837.91,96415.476573,-65.88000000000011,BTC,2020-04-13,6837.91,6837.91,6837.91,8.830237408369431,-3.9986311787072224,-3.9986311787072224,-3.9986311787072224,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1586822400000,6838.04,6978.0,6754.28,6868.7,69068.623285,30.659999999999854,BTC,2020-04-14,6839.117450980392,6838.519702970298,6838.3178145695365,8.834730138780579,-1.2560546939184123,-1.2472047793443255,-1.2442157353490935,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1586908800000,6868.57,6933.0,6605.0,6621.24,61571.384994,-247.32999999999993,BTC,2020-04-15,6830.573237216456,6834.217134594648,6835.442611727556,8.798037942568753,-3.415189057024311,-3.470357828836459,-3.488911608290025,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1586995200000,6621.25,7190.0,6468.27,7101.94,125009.857539,480.6899999999996,BTC,2020-04-16,6841.215071051105,6839.518577473962,6838.972378459642,8.86812326514293,-5.765762267980536,-5.739534334125842,-5.731090051275554,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1587081600000,7101.99,7148.12,6972.98,7027.55,54126.509763,-74.4399999999996,BTC,2020-04-17,6848.522323166748,6843.241971979428,6841.470095301236,8.857593417661104,1.7848563574433276,1.8605822477702736,1.8859928566948914,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,166.86928218223542,,27845.35733601451,,,
1587168000000,7026.78,7293.08,7014.4,7248.6,49488.542819,221.82000000000062,BTC,2020-04-18,6864.211643826875,6851.268863623399,6846.862544370095,8.888563625753573,2.141143307668863,2.325660589310573,2.38847878122013,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,-1.056646744861737,,,,,,214.5545793125962,,46033.667504005134,,,
1587254400000,7248.6,7266.15,7055.6,7120.74,45664.86393,-127.86000000000058,BTC,2020-04-19,6874.271579363076,6856.6049257298655,6850.490060338703,8.870766931589674,2.569992922457685,2.82038486124688,2.9070516988108337,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,-0.8941678416919528,,,,,,213.59150278978493,,45621.3300639987,,,
1587340800000,7121.4,7220.0,6751.0,6826.83,90149.49137,-294.5699999999997,BTC,2020-04-20,6872.411125270406,6856.015323240165,6850.1766820560715,8.828615715980368,-1.7984169052052443,-1.5555521143558781,-1.4690665391211897,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,-0.6960290187436118,,,,,,138.78604791544248,,19261.5670959875,,,
1587427200000,6828.98,6940.0,6762.0,6841.37,60109.710808,12.390000000000327,BTC,2020-04-21,6871.1938262401945,6855.72531683937,6850.060037260627,8.830743282958412,-1.6148155315024333,-1.3860591073553676,-1.3022779837418932,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.10600813498032625,,,,,,162.1376540350298,,26288.61885598302,,,
1587513600000,6841.36,7156.38,6818.0,7125.14,61486.377334,283.78000000000065,BTC,2020-04-22,6881.152499720971,6861.060261060373,6853.703480475718,8.871384654066617,-0.9262613628772487,-0.6315673373477969,-0.5236650113774963,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.19703959080573616,,,,,,168.46275346191436,,28379.69930396974,,,
1587600000000,7125.12,7738.0,7020.0,7482.39,102773.569561,357.27000000000044,BTC,2020-04-23,6904.730440908384,6873.363820247296,6862.030454244252,8.920307538649865,1.6420165112765874,2.088834469411742,2.2502784295690628,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.33954257816533784,,,,,,239.43763819409918,,57330.38258396834,,,
